amazon_id,album_mbid,MSD_track_id,recording_mbid,artist_mbid,genres
B0018ZB6ZO,0164b5ce-42f8-46bf-b140-61ecd2ed449e,TRYDUXK12903CE0C37,66dd470f-4c4f-4caa-b8d4-2ebc80a83cb6,7434b85a-4a06-42ba-9e1d-9c568c044842,Dance & Electronic
B0018ZB6ZO,0164b5ce-42f8-46bf-b140-61ecd2ed449e,TRGWXYX128F426E27F,b45aef36-c3a3-42f2-90fb-728e8b3c54a2,7434b85a-4a06-42ba-9e1d-9c568c044842,Dance & Electronic
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRVMIIJ12903CDBF1D,36b15f42-b441-4d64-8ba9-ca264ed1c6f1,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRDHJVA128F9335634,279fabb3-830e-4d04-86d5-53668bc42bfa,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRKDLHL12903CDBF32,381b90e1-c07f-4a53-be8c-6a2107d7a17f,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRUCPNY128F933563A,8e9537e7-7896-4cb2-8711-a5ae88674e89,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRDSDCI12903CDBF24,b96d3fa4-5e45-47d8-b8b1-61a206eb7b0f,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRPIBPW128E07844C2,73c13162-bf36-4e43-941b-4ab729602d26,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRBDTZV128E07844BB,051711f6-c7c8-4dfc-be30-2a36d2f6f966,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRFEDHK128F148AE57,0f14a47f-332f-40b4-b53e-b1906fcb0758,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRPTZGR128F148AE5D,f16f9fab-e887-4dd1-a982-754537e0c783,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRMIIQQ128F933562C,8bf5bbc5-1c22-4cf7-994d-f15935699bc3,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRVFQJA128E07844B7,5a341d13-c70f-4fd6-be14-b228a8848b74,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRWSRFU128F9335639,f64bb6a8-466c-446b-ae16-8acb23413b78,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRSSBSQ128E07844BC,a911551a-d269-4767-9e08-73986ba00a38,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRAYCHS128E07844BA,f7f7e248-7b5a-45af-8e24-a48ac6f05e1f,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRHTXLS12903CDBF21,52dc9d55-a37e-4c55-b6dc-27d0730cf0b6,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRPRKFS128F9335626,c85bd3d3-258c-4cb2-b2c1-b8aa5b69bcac,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRGDXIP128F9335625,895d59bb-a3ed-464d-a073-2dea851d55c1,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B000003HGR,7fe6e337-9115-3719-855b-0441c42a2c36,TRHEGDG12903CDBF3E,56025f59-6ca0-4f83-9c52-10ea3dbd5e04,1b54e90c-638e-4fdd-a20e-4ab09db9fdaf,Alternative Rock
B0000564CN,d825b1ab-e260-3eb7-b486-5cb58ba0391f,TRPDZTD12903CBFC4B,aaf7c510-dc3d-4d39-81b0-81acf226fa09,570938b4-8fe5-44f9-ab43-9438feb03c6f,R&B
